Sat Sep  5 23:43:10 JST 2026
23:43  up 16:26, 9 users, load averages: 9.00 7.52 8.78
=== run175A search ===
175A 1 1.596582 200
175A 2 0.936703 200
175A 3 0.964188 200
175A 4 1.218608 200
175A 5 0.964347 200
175A 6 0.056574 200
175A 7 0.053812 200
175A 8 0.076153 200
175A 9 0.055928 200
175A 10 0.050692 200
175A 11 0.055070 200
175A 12 0.071458 200
175A 13 0.058120 200
175A 14 0.047764 200
175A 15 0.058264 200
175A 16 0.928885 200
175A 17 1.271584 200
175A 18 0.042477 200
175A 19 0.056915 200
175A 20 0.089925 200
=== run175B search ===
175B 1 0.040801 200
175B 2 0.090932 200
175B 3 0.066040 200
175B 4 0.048316 200
175B 5 0.101015 200
175B 6 0.052430 200
175B 7 0.059606 200
175B 8 0.053848 200
175B 9 0.115394 200
175B 10 0.058774 200
175B 11 0.054243 200
175B 12 0.073475 200
175B 13 0.081609 200
175B 14 0.054947 200
175B 15 0.048500 200
175B 16 0.049831 200
175B 17 0.046775 200
175B 18 0.061079 200
175B 19 0.046857 200
175B 20 0.063271 200
=== run175C search ===
175C 1 0.059774 200
175C 2 0.101128 200
175C 3 0.067026 200
175C 4 0.094088 200
175C 5 0.052531 200
175C 6 0.044816 200
175C 7 0.046732 200
175C 8 0.040249 200
175C 9 0.059774 200
175C 10 0.055947 200
175C 11 0.059818 200
175C 12 0.052917 200
175C 13 0.050369 200
175C 14 0.052276 200
175C 15 0.045029 200
175C 16 0.058764 200
175C 17 0.078785 200
175C 18 0.055375 200
175C 19 0.044853 200
175C 20 0.066365 200
=== landing control ===
LC 1 0.067217 200
LC 2 0.067417 200
LC 3 0.057405 200
LC 4 0.058811 200
LC 5 0.072633 200
LC 6 0.057807 200
LC 7 0.057847 200
LC 8 0.059409 200
LC 9 0.068990 200
LC 10 0.219725 200
LC 11 0.066554 200
LC 12 0.058462 200
LC 13 0.075401 200
LC 14 0.054187 200
LC 15 0.063701 200
LC 16 0.049575 200
LC 17 0.055158 200
LC 18 0.056322 200
LC 19 0.055204 200
LC 20 0.047557 200
Sat Sep  5 23:43:24 JST 2026
